IDCOMMANDES;NUMCOMMANDE;IDOFFRES;DATECOMMANDE;MONTANTHONOTAIRE;DATEDEMARRAGE;DUREE;NUMAFFAIRE;ADRESSEFACTURATION;EXONERETVA;PRECOMPTETVA
1858;P-124A-10/PTN ;2387;14/05/2010;1250000;14/05/2010;1 mois ;1697-CT-10;Bourguiba Immeuble complexe GAMMA - Dakar ;0;0
1859;P-114A-10/SN;2388;18/05/2010;800000;18/05/2010;6 mois ;1698-CT-10;CitÈ Fadia N¯500 route des Niayes - Dakar ;0;0
1860;P-129-10/NGD;2389;20/05/2010;400000;20/05/2010;05 JOURS OUVRABLES  ;1699-CT-10;24, CitÈ Fadia - Dakar ;0;0
1861;P-112A-10/NGD ;2390;28/05/2010;2542373;01/06/2010;12 mois ;1700-CT-10;"s/c M. Abdel Kader CISSE 
CitÈ BCEAO, villa N¯16 en face du pont de la foire - Dakar ";0;0
1862;AVENANT P-029A-08/BD;2391;28/05/2010;1000000;28/05/2010;;1701-CT-10;9, CitÈ millionnaire - route de l'Aeroport DAKAR ;0;0
1863;P-083-10/ABK ;2392;01/06/2010;400000;01/06/2010;04 JOURS OUVRABLES  ;1702-CT-10;14, route de l'aÈroport, rue NG 28 - DAKAR ;0;0
1864;AVENANT P-205A-09/SK;2393;07/06/2010;15000000;07/06/2010;12 mois ;1703-CT-10;23, CitÈ des jeunes cadres - Yoff virage route de l'Aeroport - Dakar ;0;0
1865;AVENANT N∞2 P-205A-09/SK;2394;07/06/2010;13000000;07/06/2010;12 mois ;1704-CT-10;23, CitÈ des jeunes cadres - Yoff virage route de l'Aeroport - Dakar ;0;0
1866;P-064-10/PTN ;2395;07/06/2010;2600000;07/06/2010;12 mois ;1705-CT-10;"Km 3, Bd. du centenaire de la commune de Dakar
";0;0
1867;P-145-10/MFF;2396;08/06/2010;169491;08/06/2010;05 JOURS OUVRABLES  ;1706-CT-10;SacrÈ coeur 3 villa N∞10300 - Dakar ;0;0
1868;4553003765;2398;10/06/2010;1100000;10/06/2010;3 ans;1707-CT-10;"Km 3, Bd. du centenaire de la commune de Dakar
";0;0
1869;P-063-10/PTN ;2399;10/06/2010;1450000;10/06/2010;30 jours ;1708-CT-10;"Km 3, Bd. du centenaire de la commune de Dakar
";0;0
1871;167398;2400;10/06/2010;1350000;10/06/2010;08 JOURS OUVRABLES ;1709-CT-10;47, Avenue Hassan 2 - DAKAR ;0;0
1872;9996;0;;0;;;;;0;0
1873;9996;0;15/06/2010;0;;;;;0;0
1874;P-131-10/NGD ;2401;14/06/2010;4800000;14/06/2010;6 mois ;1710-CT-10;A cÙtÈ de la SONATEL TOUBA ;0;0
1875;CONVENTION N∞10/168;2405;18/06/2010;5900000;18/06/2010;03 MOIS ;1711-CT-10;Centre commercial Touba Sandaga - Dakar ;0;0
1876;P-120A-10/NGD;2406;18/06/2010;6000000;21/06/2010;18 mois ;1712-CT-10;Hann mariste 1, Ilot J81 - Dakar ;0;0
1877;P-141-10/ABK ;2407;21/06/2010;500000;21/06/2010;05 JOURS OUVRABLES  ;1713-CT-10;N∞47, domaine SODIDA, Dakar ;0;0
1878;P-142-10/ABK ;2408;21/06/2010;1800000;21/06/2010;12 mois ;1714-CT-10;N∞47, domaine SODIDA, Dakar ;0;0
1879;P-153-10/NGD ;2409;21/06/2010;1500000;22/06/2010;06 mois ;1715-CT-10;villa N∞5 CitÈ Fadia - Dakar ;0;0
1880;P-154-10/LD;2410;21/06/2010;211864;22/06/2010;05 JOURS OUVRABLES  ;1716-CT-10;Dieuppeul 2 N∞2577 - Dakar ;0;0
1881;P-148A-10/NGD ;2412;24/06/2010;466100;28/06/2010;7 jours ouvrables ;1718-CT-10;Hann Mariste , Scat urbam  N∞R21 - Dakar ;0;0
1882;P-159-10/NGD ;2413;24/06/2010;100000;24/06/2010;05 JOURS OUVRABLES  ;1719-CT-10;BP 80 - POUT ;0;0
1884;P-166-10/MP ;2414;05/07/2010;150000;07/07/2010;1 journÇe ;1720-CT-10;Parcelles Assainies UnitÈ 14 N∞348 - DAKAR ;0;0
1885;P-171-10/NGD ;2415;07/07/2010;847458;12/07/2010;06 mois ;1721-CT-10;Rue 38 x 39 Colobane - Dakar ;1;0
1887;BC N¯3492;0;;24500000;;;;;0;0
1888;;2416;21/05/2008;1000000;28/08/2008;0;1315-CT-08;"SCPI S/C AGETIP
 Bd Djily Mbaye x BÈranger FERRAUD 
  BP 143 ? Dakar ";1;0
1891;P-089A-10/NGD ;2418;13/07/2010;300000;13/07/2010;05 JOURS OUVRABLES  ;1722-CT-10;DAKAR ;0;0
1893;P-172-10/NGD ;2419;14/07/2010;700000;16/07/2010;05 JOURS OUVRABLES  ;1724-CT-10;Immeuble A, Appt. N∞3, 4Ëme Ètage rond point jet d'eau - Avenue Bourguiba / DAKAR ;0;0
1894;P-163-10/NGD;2420;14/07/2010;3500000;19/07/2010;7 mois ;1723-CT-10;4, Avenue Cheikh Anta DIOP - Rte de Ouakam - Dakar ;0;0
1895;P-170-10/FF;2421;16/07/2010;2118645;19/07/2010;08 mois ;1725-CT-10;Kasnack - KAOLACK ;1;0
1896;BC N∞3492;2417;09/06/2008;24500000;09/06/2008;60 jours ;1324-CT-08;Pointe des Almadies - DAKAR ;0;0
1897;P-174-10/BE ;2423;19/07/2010;900000;02/08/2010;0;1726-CT-10;Dakar ;0;0
1898;P-225B-08/BE;2424;20/07/2010;25110000;02/08/2010;19 mois ;1727-CT-10;Almadies, villa N∞5 zone 14 - DAKAR ;0;0
1899;P-180-10/BE;2425;20/07/2010;2500000;02/08/2010;8 mois ;1728-CT-10;Km 11, route de Rufisque - Dakar ;0;0
1900;P-152A-10/MP;2426;20/07/2010;800000;27/07/2010;04 MOIS ;1729-CT-10;Km 16, route de Rufisque  - DAKAR ;0;0
1901;P-173-10/BE ;2427;26/07/2010;550000;26/07/2010;05 JOURS OUVRABLES  ;1730-CT-10;Dakar ;0;0
1902;P-137A-10/NGD ;2428;26/07/2010;400000;26/07/2010;05 JOURS OUVRABLES  ;1731-CT-10;CitÈ Keur Damel - Dakar ;0;0
1903;P-186A-10/PTN ;2429;28/07/2010;480000;28/07/2010;1 journÇe ;1732-CT-10;"Km 3, Bd. du centenaire de la commune de Dakar
";0;0
1904;P-189-10/BE;2430;30/07/2010;762711;02/08/2010;06 mois ;1733-CT-10;"Quartier SAHM Kaolack  Lot N∞79 
KAOLACK ";0;0
1905;P-109B-10/MP;2431;02/08/2010;1600000;02/08/2010;4 mois;1734-CT-10;Route de l'Hìtel Baobab - Somone Mbour ;0;0
1906;P-191-10/BE ;2432;02/08/2010;762711;02/08/2010;6 mois ;1735-CT-10;Rue Paul Seignet  Quartier LÈona  - KAOLACK ;0;0
1907;P-161B-10/NGD ;2433;04/08/2010;7600000;09/08/2010;15 mois ;1736-CT-10;"SCPI S/C AGETIP 
Bd Djily Mbaye x BÈranger Ferraud
 BP 143 ? DAKAR";1;0
1908;P-193-10/BE;2434;09/08/2010;3850000;12/08/2010;14 mois ;1737-CT-10;Avenue Birago DIOP - DAKAR ;0;0
1909;P-197A-10/MP ;2435;12/08/2010;300000;12/08/2010;05 JOURS OUVRABLES  ;1738-CT-10;Immeuble A, Appt. N¯3, 4Ëme Ètage rond point jet d'eau - Avenue Bourguiba / DAKAR ;0;0
1910;P-169-10/BE;2436;13/08/2010;4250000;13/08/2010;08 mois ;1739-CT-10;Immeuble PrÇfÇrence Entresol, 73, avenue A. Peytavin x Mass DiokhanÇ - Dakar ;0;0
1911;CONTRAT DU 13/08/10;2437;27/09/2010;27250000;01/09/2010;04 MOIS ;1740-CT-10;Villa N∞4065/B Sicap AmitiÈ II, rue G x C - DAKAR ;1;0
1912;AVENANT DE P-287B-06/BE ET P-235A-07/FS;2438;30/08/2010;1259430;01/06/2007;12 mois ;1741-CT-10;"Rue AimÈ CÈsaire - Fann RÈsidence 
DAKAR 
";0;0
1913;P-210-10/NGD ;2439;02/09/2010;250000;02/09/2010;05 JOURS OUVRABLES  ;1472-CT-10;Guediawaye Terminus Daroukhane - DAKAR;0;0
1914;P-164C-10/SK ;2441;16/09/2010;1600000;16/09/2010;06 mois ;1743-CT-10;Km 8 Bd du centenaire de la commune de Dakar ;0;0
1915;P-192C-10/MP;2442;02/09/2010;1200000;01/09/2010;4 MOIS;1744-CT-10;"S.V.T.P./GC-Monsieur le Directeur
Km 8, Bd du Centenaire de la commune de Dakar
BP 10449-DAKAR
TÇl: 33 832 33 77- 33 832 33 99/ Fax: 33 832 34 02";0;0
1916;P-202-10/PTN;2443;23/09/2010;400000;27/09/2010;2 JOURS;1753-CT-10/PTN;"UNICEF
2, Rue Carnot X Salva BP: 429
Dakar, Senegal";0;0
1918;P-194D-10/SN;2444;22/09/2010;11440677;;2 mois;1748-CT-10;"SIPRES  / MMe Anna BA DIA 
 Directeur Technique  
 Rue AimÈ CÈsaire ? Fann RÈsidence	
 BP 16211 Dakar";0;0
1919;P-209D-09/BE;2445;22/09/2010;6165500;24/09/2010;12 MOIS;1749-CT-10;"M. ET MME BENGELOUNE
N¯1 RUE SALVA
DAKAR";0;0
1920;CONVENTION N¯11/176;2570;03/02/2011;6830508;01/10/2010;6 MOIS;1750-CT-10;"Rue AimÈ CÈsaire - Fann RÈsidence 
DAKAR 
";0;0
1921;P-233A-10/BE;2446;23/09/2010;10000000;;6 MOIS;1750-CT-10;"GTA Environnement SA
Route du MÇridien
Zone 7 lot 7 
Dakar-SÈnÈgal";0;0
1922;P-075-10/SN;2447;27/08/2010;14276600;02/10/2010;6 MOIS;1747-CT-10;;0;0
1923;P-206A-10/MP;2448;22/09/2010;2200000;03/01/2011;2 Mois;1752-CT-10;"CBAO GAWB/
Monsieur le Directeur GÈnÈral
1, Place de l'IndÇpendance
BP:129-Dakar";0;0
1924;;0;22/09/2010;0;;2 Mois;1752-CT-10;"CBAO GAWB/
Monsieur le Directeur GÈnÈral
1, Place de l'IndÇpendance
BP:129-Dakar";0;0
1925;P-128-10/NGD ET P-223-10/SN;2449;29/10/2010;13808490;06/02/2012;36;1754-CT-10;"AGETIP 
Bd Djily MBAyE x BÈranger FERRAUD 
 BP 143 -Dakar";0;0
1926;P-244-10/NGD;2450;11/10/2010;200000;11/10/2010;5 jours;1755-CT-10;"TTS
Rue FÈlix EbouÇ-Dakar";0;0
1927;P-243A-07/BD;2453;;1500000;01/10/2007;6 Mois;1191-CT-07;"KAÿRA BTP S/C SCPI
Monsieur Mbacke/AGETIP
38, Avenue Malick Sy
Dakar";0;0
1928;P-247-10/NGD;2454;13/10/2010;300000;13/10/2010;5 jours;1758-CT-10;"Monsieur Abdou Lahat Ka
Entreprise Touba MatÈriaux
Touba-SÈnÈgal
";0;0
1929;AVENANT P-032A-10/NGD;2455;14/10/2010;250000;15/10/2010;15 jours;1759-CT-10;"Monsieur Abdou Lahat KA
Entreprise Touba MatÈriaux 
S/C AGETIP
Boulevard djily MBAYE - DAKAR";0;0
1930;P-248A-10/NGD;2456;14/10/2010;400000;14/10/2010;15 jours;1756-CT-10;Immeuble A, Appt. N¯3, 4Ëme Ètage rond point jet d'eau - Avenue Bourguiba / DAKAR ;0;0
1931;P-249A-10/NGD;2457;14/10/2010;650000;14/10/2010;15 jours;1757-CT-10;Immeuble A, Appt. N¯3, 4Ëme Ètage rond point jet d'eau - Avenue Bourguiba / DAKAR ;0;0
1932;P-254A-10/NGD;2460;18/10/2010;650000;18/10/2010;5 jours;1761-CT-10;"M. Doumbia
F.I SARL
Lot 77 libertÈ 6 Extension
VDN dÇrräre Ecole Machallah";0;0
1933;P-253-10/NDN;2461;18/10/2010;1525423;20/10/2010;6 mois;1760-CT-10;"Darou Salam
GuÈdiawaye Terminus Darouhane
Dakar- SÈnÈgal";0;0
1935;P-259-10/FF;2462;19/10/2010;180000;20/10/2010;5 jours;1762-CT-10;"M. Babacar BA
libertÈ 6 Extension Lot n¯3
Dakar- SÈnÈgal";0;0
1936;P-252-10/NGD;2463;15/10/2010;2100000;20/10/2010;6 mois;1763-CT-10;"EGBTP Amadou Hane SARL
MarÇchal Bugeaud
Kaolack- SÈnÈgal
";0;0
1937;P-246A-10/NGD;2474;19/10/2010;3389830;22/10/2010;12 mois;1765-CT-10;"M. Mame Gor NIANG
ECAV
CitÈ Millionaire, 9 route de l'Aeroport
Dakar";0;0
1938;P-264A-10/NGD;2474;19/10/2010;3389830;22/10/2010;12 mois;1765-CT-10;"M. Mame Gor NIANG
CitÈ Millionnaire, 9, CitÈ Millionnaire - route de l'Aeroport  
Dakar ";0;0
1939;P-251-10/PTN;2475;15/10/2010;155000;26/10/2010;6 jours;1766-CT-10;"M. Ali Niang
Route de l'Aeroport X VDN
BP: 8959
Dakar -SÈnÈgal";0;0
1940;P-261A-10/MD;2476;25/10/2010;169491;26/10/2010;5 jours;1768-CT-10;"M. le Directeur GÈnÈral
5 Rue FÈlix EbouÇ";0;0
1941;P-119A-10/MP;2477;25/10/2010;2200000;28/10/2010;4 mois;1770-CT-10;"Cabinet Guäye Archi Urba
Avenue Cheikh A. Bamba X Rue 38 en face place de l'obÈlisque";0;0
1942;P-225-10/NGD;2478;16/10/2010;700000;27/10/2010;12 mois;1769-CT-10;"Maläye Läye
71, Route du Front de Terre";0;0
1943;P-262-10/PTN;2479;22/10/2010;800000;23/10/2010;10 jours;1771-CT-10;"Km 11, route de Rufisque
Dakar- SÈnÈgal";0;0
1944;P-272-10/NGD;2485;04/11/2010;100000;05/11/2010;5 jours;1772-CT-10;"Monsieur Abdou LahaT Ka
Entreprise Touba MatÈriaux
Touba- SÈnÈgal";0;0
1945;P-146-10/BE;2496;04/11/2010;35515000;04/11/2010;72 MOIS;1773-CT-10;"AGEOPPE
Rue de 5 Jhulo, n¯7A
CP : n¯754- Bissau
";0;1
1946;P-275A-10/NGD;2497;10/11/2010;4200000;12/11/2010;6 mois;1774-CT-10;;0;0
1948;P-117A-10/SN;2498;12/11/2010;10000000;;14mois;1775-CT-10;;0;0
1949;P-275A-10/NGD;2499;12/11/2010;75000;15/11/2010;5 jours;1776-CT-10;HLM Hann Maristes Immeuble A n¯22;0;0
1950;P-106-10/SN;2524;21/04/2010;23919200;01/11/2010;6 mois;1777-CT-10;Avenue Djily MBAYE x  Beranger Ferraud - Dakar ;0;0
1951;P-282-10/NGD;2525;22/11/2010;100000;23/12/2010;5 jours;1778-CT-10;;0;0
1952;P-283-10/MD;2526;23/11/2010;508474;24/11/2010;5 jours;1779-CT-10;Grand Dakar, derriËre la Mairie, N∞30B - DAKAR ;0;0
1953;AVENANT P-345A-09/MP;2465;25/10/2010;1000000;01/11/2010;2 mois;1767-CT-10;Avenue Cheikh A. Bamba X Rue 38 en face place de l'obÈlisque;0;0
1954;P-041-10/NGD;1185;19/12/2010;2500000;22/11/2010;6 mois;1780-CT-10;;0;0
1955;P-286-10/MP;2531;23/11/2010;75000;26/11/2010;5 jours;1781-CT-10;32, Fadia extension;0;0
1956;27SID/DT.DKR/BCP/GTP;2544;02/09/2010;468900;02/11/2010;4 MOIS 8 JRS;1746-CT-10 - 1;BP 4031 - DAKAR ;1;0
1957;GTP/MBC/25;0;02/09/2010;0;;;;;1;0
1958;P-284-10/MP;2529;01/11/2010;1200000;02/11/2010;4 mois;1782-CT-10;;0;0
1959;32SID/DT.DKR/BCP/GTP;2545;02/09/2010;750500;03/08/2010;1 MOIS 8 JOURS;1746-CT-10 - 2;Direction des Travaux Maritimes du Cap-Vert ? BP. 4031 Dakar;0;0
1960;31SID/DT.DKR/BCP/GTP;2546;02/09/2010;731380;03/08/2010;1 MOIS;1746-CT-10- 3;;1;0
1961;28SID/DT.DKR/BCP/GTP;2547;02/09/2010;3790208;03/08/2010;1 mois;1746-CT-10-2;;1;0
1962;P-286-10/MP;2531;24/12/2010;75000;26/11/2010;5 jours;1781-CT-10;;0;0
1963;P-287-10/NGD;2532;29/11/2010;300000;30/12/2010;5 jours;1783-CT-10;;0;0
1964;CONVENTION N∞10-175;2517;02/11/2010;30000000;06/12/2011;36 mois;1784-CT-10;"RÈsidence BAOBOLONG
SALY";0;0
1965;P-292-10/NGD;2537;30/11/2010;635594;02/12/2010;1 mois;1785;;0;0
1966;P-234-10/SN;2553;23/09/2010;2900000;24/09/2010;5 mois;1786-CT-10;;0;0
1967;CONVENTION N∞10-174;2519;11/11/2010;4700000;06/12/2010;60;1787-CT-10;;0;0
1968;;2554;;450000000;;;1788-CT-10;;0;0
1969;P-293-10/SN;2538;02/12/2010;0;13/12/2010;2 semaines;1789-CT-10;;0;0
1970;P-299-10/NGD ;2555;10/12/2010;5084745;01/01/2011;12 MOIS;1790-CT-10;;0;0
1971;29SID/DT.DKR/BCP/GTP;2548;02/09/2010;1034752;03/08/2010;1 mois;1746-CT-10-4;;1;0
1972;30SID/DT.DKR/BCP/GTP;2549;02/09/2010;2845535;03/08/2010;1 mois;1746-CT-10 - 5;;0;0
1973;33SID/DT.DKR/BCP/GTP;2550;02/09/2010;1069700;03/08/2010;1 mois;1746-CT-10 - 6;;0;0
1974;34SID/DT.DKR/BCP/GTP;2551;02/09/2010;415525;03/08/2010;1 mois;1746-CT-10 - 7;;1;0
1976;35SID/DT.DKR/BCP/GTP ;2552;02/09/2010;1735400;03/08/2010;1 mois;1746-CT-10 - 8;;0;0
1977;P-301B-09/MP;2554;14/12/2010;5500000;27/12/2010;60 mois;1788-CT-10;"1, Rue Salva x Albert Sarault
Dakar 
";0;0
1978;P-301-10/MP;2557;13/12/2010;150000;15/12/2010;5 jours;1791-CT-10;;0;0
1979;P-304-10/FS;2560;15/12/2010;130000;20/12/2010;5 jours;1792-CT-10;;0;0
1980;P-297A-10/SN;2577;07/12/2010;3389831;;7 mois;1793-CT-10;;0;0
1981;P-307-10/NGD;2563;21/12/2010;400000;22/12/2010;5 jours;1794-CT-10;;0;0
1982;P-295A-09/PTN;2578;03/12/2010;750000;06/01/2011;1 Mois;1796-CT-10;;0;0
1983;P-312A-10/NGD;2568;29/12/2010;400000;03/01/2011;10 jours;1796-CT-11;;0;0
1984;P-308A-10/NGD;2579;03/01/2011;3500000;04/01/2011;6 mois;1797-CT-11;;0;0
1985;P-004-11/NGD;2574;04/01/2011;150000;05/01/2011;5 jours;1798-CT-11;;0;0
1986;P-005-11/NGD;2575;06/01/2011;200000;07/01/2011;5 jours;1799-CT-11;;0;0
1988;CONVENTION N∞10-171;2603;05/01/2011;10170000;10/01/2011;8 mois;1801-CT-11;;0;0
1989;AVENANT P-342A-09/NGD;2604;07/01/2011;600000;10/01/2011;3 mois;1800-CT-11;;0;0
1990;CONVENTION N¯10/172 ;2605;05/01/2011;7000000;11/01/2011;8 mois;1802-CT-11;;0;0
1991;P-008-11/FF;2582;10/01/2011;100000;11/01/2011;5 jours;1803-CT-11;;0;0
1992;P-012 BIS-11/NDN ;2587;10/01/2011;400000;11/01/2011;5 jours;1804-CT-11;;0;0
1993;P-002-11/NGD;2572;12/01/2011;1800000;13/01/2011;6 mois;1805-CT-11;;0;0
1994;P-305-10/NGD;2561;13/01/2011;0;14/01/2011;8 mois;1806-CT-11;;0;0
1995;P-010-11/NGD;2584;18/01/2011;350000;19/01/2011;5 jours;1807-CT-11;;0;0
1996;P-014-11/NGD;2589;20/01/2011;200000;20/01/2011;5 jours;1808-CT-10;;0;0
1997;P-017A-11/NGD ;2606;20/01/2011;1694915;24/01/2011;5 Jours;1809-CT-11;;0;0
1998;P-019A-11/MP ;2594;25/01/2011;4300000;26/01/2011;18 mois;1810-CT-11;;0;0
1999;P-022-11/MFF;2597;25/01/2011;100000;28/01/2011;5 jours;1811-CT-11;;0;0
2000;P-028-11/MP;2607;27/01/2011;84745;28/01/2011;5 jours;1812-CT-11;;0;0
2001;P-018A-11/MP;2593;27/01/2011;4300000;31/01/2011;18 mois;1813-CT-11;;0;0
2002;P-015A-11/NGD;2590;27/01/2011;1300000;31/01/2011;4 mois;1814-CT-11;;0;0
2003;P-313A-10/NGD;2569;28/01/2011;3500000;31/01/2011;8 mois;1815-CT-11;;0;0
2004;P-025-11/MP;2600;26/01/2011;1000000;28/01/2011;A CHAQUE POSE D'ECHAFFAUDAGE;1816-CT-11;;0;0
2005;P-024-11/MP;2599;31/01/2011;0;01/02/2011;4 visites;1817-CT-11;;0;0
2006;P-020-11/BE ;2595;01/02/2011;4800000;02/02/2011;4 mois;1818-CT-11;;0;0
2007;P-016-11/NGD ;2591;02/02/2011;1500000;03/02/2011;4 mois;1819-CT-11;;0;0
2008;CONVENTION N∞11/176 ;2570;03/02/2011;6830508;04/02/2011;10 mois;1820-CT-11;;0;0
2009;P-027A-11/MP;2602;04/02/2011;4000000;07/02/2011;8 mois;1821-CT-11;;0;0
2010;P-038-11/AD;2608;03/02/2011;600000;04/02/2011;5 jours;1822-CT-11;;0;0
2011;P-011B-11/NGD ;2585;08/02/2011;2000000;09/02/2011;10 mois;1823-CT-11;;0;0
2012;P-013A-11/NGD;2588;10/02/2011;3000000;11/02/2011;3 visites;1824-CT-11;;0;0
2013;P-044-11/AD;2625;10/02/2011;63550;11/02/2011;5 jours;1825-CT-11;;0;0
2014;P-240-10/PTN;2464;22/10/2010;450000;25/10/2010;5 jours;1764-CT-10;;0;0
2015;P-051-11/FF;2632;24/02/2011;100000;25/02/2011;5 jours;1827-CT-11;;0;0
2016;P-052-11/NGD ;2633;24/02/2011;300000;25/02/2011;5 jours;1829-CT-11;;0;0
2017;P-321B-09/NGD;2637;24/02/2011;7000000;25/02/2011;10 mois;1826-CT-11;;0;0
2018;P-033-11/MP;2614;24/02/2011;350000;25/02/2011;5 jours;1828-CT-11;;0;0
2019;P-001-11/FF ;2571;25/02/2011;100000;28/02/2011;5 jours;1830-CT-11;;0;0
2020;P-047-11/MP ;2628;01/03/2011;423728;02/03/2011;30 jours;1831-CT-11;;0;0
2021;P-063-11/NGD ;2645;01/03/2011;4000000;02/03/2011;3 VISITES;1832-CT-11;Grand Dakar, derriËre la Mairie, N∞30B - DAKAR ;1;0
2022;P-289-10/BE;2534;04/03/2011;9280000;07/03/2011;6 mois;1833-CT-11;;0;0
2023;CONVENTION N¯11-178;2669;07/03/2011;10000000;08/03/2011;24 MOIS;1834-CT-11;;0;0
2024;P-060-11/NGD;2642;07/03/2011;300000;08/03/2011;2 MOIS;1835-CT-11;;0;0
2025;P-046B-11/BE;2627;08/03/2011;11000000;09/03/2011;14 mois;1836-CT-11;VDN, SacrÇ-C?ur III- n¯9365 Dakar;0;0
2026;P-031A-11/MP;2611;08/03/2011;1000000;09/03/2011;2 mois;1837-CT-11;;0;0
2027;P-306-10/SN;2562;09/03/2011;1300000;10/03/2011;2 mois;1838-CT-11;;0;0
2028;CONVENTION N¯11-177;2622;09/03/2011;7155000;10/03/2011;12 mois;1839-CT-11;;0;0
2029;P-072A-11/NGD;2654;09/03/2011;2000000;10/03/2011;4 mois;1840-CT-11;;0;0
2030;P-074-11/FF;2656;10/03/2011;1200000;11/03/2011;4 mois;1841-CT-11;;0;0
2031;P-058-11/NDN;2640;10/03/2011;2000000;11/03/2011;4 mois;1842-CT-11;;0;0
2032;P-116A-10/NGD;2670;10/03/2011;5000000;11/03/2011;70 mois;1843-CT-11;;0;0
2033;P-079-11/NGD;2661;14/03/2011;338983;15/03/2011;2 mois;1844-CT-11;;0;0
2034;P-036A-11/ABD;2617;15/03/2011;3220000;16/03/2011;2 ans;1845-CT-11;;0;0
2035;P-068-11/NGD;2650;15/03/2011;6200000;16/03/2011;14 mois;1846-CT-11;;0;0
2036;P-075-11/ CONVENTION N¯11-180;2658;18/03/2011;19000000;21/03/2011;24 mois;1847-CT-11;;0;0
2037;P-071-11/NGD;2653;21/03/2011;800000;22/03/2011;4 mois;1848-CT-11;;0;0
2038;P-049A-11/NGD;2630;24/03/2011;7000000;25/03/2011;12 Mois;1849-CT-11;;0;1
2039;P-061B-11/NGD;2643;24/03/2011;5500000;25/03/2011;18 mois;1850-CT-11;;0;0
2040;P-070A-11/MP;2652;24/03/2011;5700000;25/03/2011;4 Mois;1851-CT-11;;1;0
2041;P-218A-10/PTN;2680;29/03/2011;5000000;31/03/2011;3 mois;1852-CT-11;;0;0
2042;P-280A-10/BE;2527;31/03/2011;4000000;05/04/2011;12 mois;1853-CT-11;;0;0
2043;P-101-11/NGD;2686;05/04/2011;1200000;06/04/2011;8 mois;1854-CT-11;"EGBTP /  Amadou Hane SARL
MarÇchal Bugeaud
Kaolack- SÈnÈgal";0;0
2044;P-089-11/NGD;2673;05/04/2011;1700000;06/04/2011;8 mois;1855-CT-11;;0;0
2045;P-308-09/NGD;2687;06/04/2011;2200000;07/04/2011;3 mois;1856-CT-11;41, Rue Carnot  / Dakar ;0;0
2046;P-091A-11/PTN;2675;06/04/2011;700000;07/04/2011;3 mois;1857-CT-11;SacrÇ-C?ur Pyrotechnique lot n¯116;0;0
2047;P-078-11/NGD;2660;24/03/2011;1100000;25/03/2011;3 mois;1858-CT-11;Avenue Djily MBAYE x  Beranger Ferraud - Dakar ;1;0
2049;P-106-11/AD;2692;12/04/2011;300000;13/04/2011;3 mois;1859-CT-11;Scat Urbam D1 Grand Yoff;0;0
2050;P-092-11/MD;2676;12/04/2011;400000;13/04/2011;3 mois;1860-CT-11;Immeuble Fayáal;0;0
2051;P-093A-11/NGD;2677;13/04/2011;3000000;14/04/2011;4 mois;1861-CT-11;"Zone industrielle Thiäs
BP 973 RP";0;0
2052;P-006-11/SN;2576;13/04/2011;42615000;14/04/2011;18 mois;1862-CT-11;"Nouakchott Mauritanie
";1;0
2053;P-100A-11/NGD;2685;13/04/2011;6355930;14/04/2011;18 mois;1863-CT-11;"Immeuble Moustapha NDIAYE  S/C
CONCEPT ""A"" /  M. Mbaye WADE 42, Rue Victor HUGO - BP 12206 DAKAR";0;0
2054;P-087A-11/MD;2671;14/04/2011;4000000;15/04/2011;8 mois;1864-CT-11;29, rue Valmy X rue 38 Grasland;0;0
2055;P-108-11/NGD;2694;14/04/2011;250000;15/04/2011;8 mois;1865-CT-11;Quartier Thierno Kandji - DIOURBEL ;0;0
2056;P-094A-11/NGD;2678;15/04/2011;6500000;18/04/2011;16 mois;1866-CT-11;Km 22, route de Rufisque;0;0
2057;P-082-11/NGD;2664;15/04/2011;1100000;18/04/2011;8 mois;1867-CT-11;Km 8 Bd du centenaire de la commune de Dakar ;0;0
2058;P-056-11/PTN;2638;14/04/2011;300000;15/04/2011;3 mois;1868-CT-11;"2, Rue Carnot X Salva 
";1;0
2059;P-113A-11/MP;2699;21/04/2011;7200000;22/04/2011;10 mois;1870-CT-11;Rue 13 prolongÈe, Immeuble 5658;1;0
2060;P-081-11/PTN;2663;20/04/2011;200000;21/04/2011;3 mois;1869-CT-11;Dieuppeul 2 N∞2577 - Dakar ;0;0
2061;BON DE COMMANDE 0006710 ;2701;21/04/2011;500000;22/04/2011;3 mois;1871-CT-11;Sicap SacrÈ coeur 3 villa N¯9343 - DAKAR;0;0
2062;P-053-11/NGD;2634;22/04/2011;350000;26/04/2011;3 mois;1872-CT-11;"Dynamic MatÈriaux et Travaux
43, angle Boulevard gÇnäral de Gaulle
Dakar";0;0
2063;P-111-11/NGD;2697;27/04/2011;9750000;11/05/2011;4 semaines;1873-CT-11;Avenue LÈopold SÈdar Senghor;1;0
2064;P-110-11/MP;2696;29/04/2011;200000;02/05/2011;5 jours;1874-CT-11;110, Sotrac Mermoz- Dakar;0;0
2065;P-120-11/NGD;2706;02/05/2011;677966;03/05/2011;3 mois;1875-CT-11;AFRIQUE CONSTRUCTION / Monsieur Assane SAKHO Km 6.5 Bd. Cent. De la commune de Dakar Dakar - SÈnÈgal;0;0
2066;P-128-11/NGD;2717;03/05/2011;254237;04/05/2011;3 mois;1876-CT-11;Dakar;0;0
2067;;2712;;400000;;;;;0;0
